PTT,argos_date,dive_num,depth,obs_temp,doppio_temp
161291,2018-06-30 20:00:00,35,"2,6,9,10,11,16,25,30,32,36","22.95,21.913,18.407,18.315,16.871,13.68,12.485,11.054,9.82,10.332","25.203,23.965,22.478,21.702,20.739,16.28,14.177,11.997,11.421,11.322"
161291,2018-07-01 04:00:00,34,"2,3,4,5,6","25.25,24.944,24.241,24.187,23.998","25.616,25.16,24.61,24.102,23.449"
161291,2018-07-01 20:00:00,33,"2,3,4,5,8,12,16,20,30,37","24.79,24.497,22.942,22.766,19.318,17.308,15.929,13.45,10.751,10.12","26.082,25.629,25.383,25.096,23.15,17.725,14.645,13.671,12.719,nan"
161291,2018-07-02 00:00:00,32,"2,5,6,7,8,10,20,28,35,37","24.95,23.386,21.096,20.869,19.034,17.413,13.901,12.678,10.73,10.943","25.722,24.095,23.254,22.298,21.245,18.998,13.503,13.672,11.787,nan"
161291,2018-07-02 08:00:00,31,"2,3,4,5","25.07,24.698,23.581,23.28","25.342,25.347,25.26,24.837"
161291,2018-07-03 04:00:00,30,"2,3,4,5,6,7","25.28,24.82,24.561,23.948,23.359,22.393","25.82,25.745,25.292,24.505,23.777,23.114"
161291,2018-07-07 08:00:00,29,"2,3,4,5","27.42,27.362,27.32,27.314","24.503,24.492,24.266,23.189"
161291,2018-07-10 12:00:00,28,"2,5,10,11,12,13,15,18,28,32","22.38,22.38,21.593,20.488,18.138,16.564,14.402,12.792,10.63,10.665","21.967,21.957,21.227,20.555,19.906,18.711,17.787,16.653,14.994,nan"
161291,2018-07-10 16:00:00,27,"2,3,8,10,11,14,15,17,24,30","22.29,21.988,21.686,21.246,19.912,14.742,13.497,11.924,10.201,9.71","22.175,22.139,21.781,21.345,20.947,18.915,18.336,17.027,15.874,14.274"
161291,2018-07-11 20:00:00,54,"2,11,14,17,18,21,22,23,25,52","23.1,22.169,21.112,18.208,15.731,10.776,10.224,8.977,7.999,7.32","23.466,21.052,18.03,15.678,14.744,13.651,13.336,13.08,12.675,nan"
